"Item","Total","Missing","Available"
"Gray Concrete",147,147,0
"Gray Stained Glass",32,32,0
"Flower Pot",18,18,0
"Chest",12,12,0
"Oak Sign",7,7,0
"Black Stained Glass",2,2,0
"Block of Redstone",2,2,0
"Brown Terracotta",2,2,0
"Glass",2,2,0
"Light Gray Terracotta",2,2,0
"Orange Terracotta",2,2,0
"Red Terracotta",2,2,0
"Terracotta",2,2,0
"White Stained Glass",2,2,0
"White Terracotta",2,2,0
"White Wool",2,2,0
"Yellow Terracotta",2,2,0
"Acacia Button",1,1,0
"Acacia Fence",1,1,0
"Acacia Fence Gate",1,1,0
"Acacia Leaves",1,1,0
"Acacia Log",1,1,0
"Acacia Planks",1,1,0
"Acacia Pressure Plate",1,1,0
"Acacia Sapling",1,1,0
"Acacia Sign",1,1,0
"Acacia Slab",1,1,0
"Acacia Stairs",1,1,0
"Acacia Trapdoor",1,1,0
"Acacia Wood",1,1,0
"Activator Rail",1,1,0
"Ancient Debris",1,1,0
"Andesite",1,1,0
"Andesite Slab",1,1,0
"Andesite Stairs",1,1,0
"Andesite Wall",1,1,0
"Anvil",1,1,0
"Azalea",1,1,0
"Azalea Leaves",1,1,0
"Bamboo",1,1,0
"Barrel",1,1,0
"Basalt",1,1,0
"Beacon",1,1,0
"Birch Button",1,1,0
"Birch Fence",1,1,0
"Birch Fence Gate",1,1,0
"Birch Leaves",1,1,0
"Birch Log",1,1,0
"Birch Planks",1,1,0
"Birch Pressure Plate",1,1,0
"Birch Sapling",1,1,0
"Birch Sign",1,1,0
"Birch Slab",1,1,0
"Birch Stairs",1,1,0
"Birch Trapdoor",1,1,0
"Birch Wood",1,1,0
"Black Carpet",1,1,0
"Black Concrete",1,1,0
"Black Concrete Powder",1,1,0
"Black Glazed Terracotta",1,1,0
"Black Stained Glass Pane",1,1,0
"Black Terracotta",1,1,0
"Black Wool",1,1,0
"Blackstone",1,1,0
"Blackstone Slab",1,1,0
"Blackstone Stairs",1,1,0
"Blackstone Wall",1,1,0
"Blast Furnace",1,1,0
"Block of Amethyst",1,1,0
"Block of Coal",1,1,0
"Block of Emerald",1,1,0
"Block of Gold",1,1,0
"Block of Iron",1,1,0
"Block of Lapis Lazuli",1,1,0
"Block of Quartz",1,1,0
"Block of Raw Copper",1,1,0
"Block of Raw Gold",1,1,0
"Block of Raw Iron",1,1,0
"Blue Carpet",1,1,0
"Blue Concrete",1,1,0
"Blue Concrete Powder",1,1,0
"Blue Glazed Terracotta",1,1,0
"Blue Ice",1,1,0
"Blue Stained Glass",1,1,0
"Blue Stained Glass Pane",1,1,0
"Blue Terracotta",1,1,0
"Blue Wool",1,1,0
"Bone Block",1,1,0
"Bookshelf",1,1,0
"Brick Slab",1,1,0
"Brick Stairs",1,1,0
"Brick Wall",1,1,0
"Bricks",1,1,0
"Brown Carpet",1,1,0
"Brown Concrete",1,1,0
"Brown Concrete Powder",1,1,0
"Brown Glazed Terracotta",1,1,0
"Brown Mushroom",1,1,0
"Brown Mushroom Block",1,1,0
"Brown Stained Glass",1,1,0
"Brown Stained Glass Pane",1,1,0
"Brown Wool",1,1,0
"Cactus",1,1,0
"Calcite",1,1,0
"Campfire",1,1,0
"Carved Pumpkin",1,1,0
"Cauldron",1,1,0
"Chain",1,1,1
"Chiseled Deepslate",1,1,0
"Chiseled Nether Bricks",1,1,0
"Chiseled Polished Blackstone",1,1,0
"Chiseled Quartz Block",1,1,0
"Chiseled Red Sandstone",1,1,0
"Chiseled Sandstone",1,1,0
"Chiseled Stone Bricks",1,1,0
"Clay",1,1,0
"Coarse Dirt",1,1,0
"Cobbled Deepslate",1,1,0
"Cobbled Deepslate Slab",1,1,0
"Cobbled Deepslate Stairs",1,1,0
"Cobbled Deepslate Wall",1,1,0
"Cobblestone",1,1,0
"Cobblestone Slab",1,1,0
"Cobblestone Stairs",1,1,0
"Cobblestone Wall",1,1,0
"Composter",1,1,0
"Cracked Deepslate Bricks",1,1,0
"Cracked Deepslate Tiles",1,1,0
"Cracked Nether Bricks",1,1,0
"Cracked Polished Blackstone Bricks",1,1,0
"Cracked Stone Bricks",1,1,0
"Crafting Table",1,1,0
"Crimson Button",1,1,0
"Crimson Fence",1,1,0
"Crimson Fence Gate",1,1,0
"Crimson Fungus",1,1,0
"Crimson Hyphae",1,1,0
"Crimson Nylium",1,1,0
"Crimson Pressure Plate",1,1,0
"Crimson Sign",1,1,0
"Crimson Slab",1,1,0
"Crimson Stairs",1,1,0
"Crimson Stem",1,1,0
"Crimson Trapdoor",1,1,0
"Crying Obsidian",1,1,0
"Cut Red Sandstone",1,1,0
"Cut Red Sandstone Slab",1,1,0
"Cut Sandstone",1,1,0
"Cut Sandstone Slab",1,1,0
"Cyan Carpet",1,1,0
"Cyan Concrete",1,1,0
"Cyan Concrete Powder",1,1,0
"Cyan Glazed Terracotta",1,1,0
"Cyan Stained Glass",1,1,0
"Cyan Stained Glass Pane",1,1,0
"Cyan Terracotta",1,1,0
"Cyan Wool",1,1,0
"Dark Oak Button",1,1,0
"Dark Oak Fence",1,1,0
"Dark Oak Fence Gate",1,1,0
"Dark Oak Leaves",1,1,0
"Dark Oak Log",1,1,0
"Dark Oak Planks",1,1,0
"Dark Oak Pressure Plate",1,1,0
"Dark Oak Sapling",1,1,0
"Dark Oak Sign",1,1,0
"Dark Oak Slab",1,1,0
"Dark Oak Stairs",1,1,0
"Dark Oak Trapdoor",1,1,0
"Dark Oak Wood",1,1,0
"Dark Prismarine",1,1,0
"Dark Prismarine Slab",1,1,0
"Dark Prismarine Stairs",1,1,0
"Dead Brain Coral Fan",1,1,0
"Dead Bubble Coral Fan",1,1,0
"Dead Fire Coral Fan",1,1,0
"Dead Horn Coral Fan",1,1,0
"Dead Tube Coral Fan",1,1,0
"Deepslate",1,1,0
"Deepslate Brick Slab",1,1,0
"Deepslate Brick Stairs",1,1,0
"Deepslate Brick Wall",1,1,0
"Deepslate Bricks",1,1,0
"Deepslate Tile Slab",1,1,0
"Deepslate Tile Stairs",1,1,0
"Deepslate Tile Wall",1,1,0
"Deepslate Tiles",1,1,0
"Detector Rail",1,1,0
"Diorite",1,1,0
"Diorite Slab",1,1,0
"Diorite Stairs",1,1,0
"Diorite Wall",1,1,0
"Dispenser",1,1,0
"Dripstone Block",1,1,0
"Dropper",1,1,0
"End Stone",1,1,0
"End Stone Brick Slab",1,1,0
"End Stone Brick Stairs",1,1,0
"End Stone Brick Wall",1,1,0
"End Stone Bricks",1,1,0
"Ender Chest",1,1,0
"Flowering Azalea",1,1,0
"Flowering Azalea Leaves",1,1,0
"Furnace",1,1,0
"Gilded Blackstone",1,1,0
"Glass Pane",1,1,0
"Glow Lichen",1,1,0
"Glowstone",1,1,0
"Granite",1,1,0
"Granite Slab",1,1,0
"Granite Stairs",1,1,0
"Granite Wall",1,1,0
"Grass Block",1,1,0
"Gravel",1,1,0
"Gray Carpet",1,1,0
"Gray Concrete Powder",1,1,0
"Gray Glazed Terracotta",1,1,0
"Gray Stained Glass Pane",1,1,0
"Gray Terracotta",1,1,0
"Gray Wool",1,1,0
"Green Carpet",1,1,0
"Green Concrete",1,1,0
"Green Concrete Powder",1,1,0
"Green Glazed Terracotta",1,1,0
"Green Stained Glass",1,1,0
"Green Stained Glass Pane",1,1,1
"Green Terracotta",1,1,0
"Green Wool",1,1,0
"Hay Bale",1,1,0
"Heavy Weighted Pressure Plate",1,1,0
"Honey Block",1,1,0
"Honeycomb Block",1,1,0
"Hopper",1,1,0
"Iron Bars",1,1,0
"Iron Trapdoor",1,1,0
"Jack o'Lantern",1,1,0
"Jungle Button",1,1,0
"Jungle Fence",1,1,0
"Jungle Fence Gate",1,1,0
"Jungle Leaves",1,1,0
"Jungle Log",1,1,0
"Jungle Planks",1,1,0
"Jungle Pressure Plate",1,1,0
"Jungle Sapling",1,1,0
"Jungle Sign",1,1,0
"Jungle Slab",1,1,0
"Jungle Stairs",1,1,0
"Jungle Trapdoor",1,1,0
"Jungle Wood",1,1,0
"Lantern",1,1,0
"Lectern",1,1,0
"Lever",1,1,0
"Light Blue Carpet",1,1,0
"Light Blue Concrete",1,1,0
"Light Blue Concrete Powder",1,1,0
"Light Blue Glazed Terracotta",1,1,0
"Light Blue Stained Glass",1,1,0
"Light Blue Stained Glass Pane",1,1,0
"Light Blue Terracotta",1,1,0
"Light Blue Wool",1,1,0
"Light Gray Carpet",1,1,0
"Light Gray Concrete",1,1,0
"Light Gray Concrete Powder",1,1,0
"Light Gray Glazed Terracotta",1,1,0
"Light Gray Stained Glass",1,1,0
"Light Gray Stained Glass Pane",1,1,0
"Light Gray Wool",1,1,0
"Light Weighted Pressure Plate",1,1,0
"Lime Carpet",1,1,0
"Lime Concrete",1,1,0
"Lime Concrete Powder",1,1,0
"Lime Glazed Terracotta",1,1,0
"Lime Stained Glass",1,1,0
"Lime Stained Glass Pane",1,1,0
"Lime Terracotta",1,1,0
"Lime Wool",1,1,0
"Magenta Carpet",1,1,0
"Magenta Concrete",1,1,0
"Magenta Concrete Powder",1,1,0
"Magenta Glazed Terracotta",1,1,0
"Magenta Stained Glass",1,1,0
"Magenta Stained Glass Pane",1,1,0
"Magenta Terracotta",1,1,0
"Magenta Wool",1,1,0
"Magma Block",1,1,0
"Mangrove Button",1,1,0
"Mangrove Fence",1,1,0
"Mangrove Fence Gate",1,1,0
"Mangrove Leaves",1,1,0
"Mangrove Log",1,1,0
"Mangrove Planks",1,1,0
"Mangrove Pressure Plate",1,1,0
"Mangrove Propagule",1,1,0
"Mangrove Roots",1,1,0
"Mangrove Sign",1,1,0
"Mangrove Slab",1,1,0
"Mangrove Stairs",1,1,0
"Mangrove Trapdoor",1,1,0
"Mangrove Wood",1,1,0
"Melon",1,1,0
"Moss Block",1,1,0
"Mossy Cobblestone",1,1,0
"Mossy Cobblestone Slab",1,1,0
"Mossy Cobblestone Stairs",1,1,0
"Mossy Cobblestone Wall",1,1,0
"Mossy Stone Brick Slab",1,1,0
"Mossy Stone Brick Stairs",1,1,0
"Mossy Stone Brick Wall",1,1,0
"Mossy Stone Bricks",1,1,0
"Mud",1,1,0
"Mud Brick Slab",1,1,0
"Mud Brick Stairs",1,1,0
"Mud Brick Wall",1,1,0
"Mud Bricks",1,1,0
"Muddy Mangrove Roots",1,1,0
"Mushroom Stem",1,1,0
"Mycelium",1,1,0
"Nether Brick Fence",1,1,0
"Nether Brick Slab",1,1,0
"Nether Brick Stairs",1,1,0
"Nether Brick Wall",1,1,0
"Nether Bricks",1,1,0
"Nether Wart Block",1,1,0
"Netherrack",1,1,0
"Note Block",1,1,0
"Oak Button",1,1,0
"Oak Fence",1,1,0
"Oak Fence Gate",1,1,0
"Oak Leaves",1,1,0
"Oak Log",1,1,0
"Oak Planks",1,1,0
"Oak Pressure Plate",1,1,0
"Oak Sapling",1,1,0
"Oak Slab",1,1,0
"Oak Stairs",1,1,0
"Oak Trapdoor",1,1,0
"Oak Wood",1,1,0
"Observer",1,1,0
"Obsidian",1,1,0
"Ochre Froglight",1,1,0
"Orange Carpet",1,1,0
"Orange Concrete",1,1,0
"Orange Concrete Powder",1,1,0
"Orange Glazed Terracotta",1,1,0
"Orange Stained Glass",1,1,0
"Orange Stained Glass Pane",1,1,0
"Orange Wool",1,1,0
"Oxidized Copper",1,1,0
"Packed Ice",1,1,0
"Packed Mud",1,1,0
"Pearlescent Froglight",1,1,0
"Pink Carpet",1,1,0
"Pink Concrete",1,1,0
"Pink Concrete Powder",1,1,0
"Pink Glazed Terracotta",1,1,0
"Pink Stained Glass",1,1,0
"Pink Stained Glass Pane",1,1,0
"Pink Terracotta",1,1,0
"Pink Wool",1,1,0
"Piston",1,1,0
"Podzol",1,1,0
"Polished Andesite",1,1,0
"Polished Andesite Slab",1,1,0
"Polished Andesite Stairs",1,1,0
"Polished Basalt",1,1,0
"Polished Blackstone",1,1,0
"Polished Blackstone Brick Slab",1,1,0
"Polished Blackstone Brick Stairs",1,1,0
"Polished Blackstone Brick Wall",1,1,0
"Polished Blackstone Bricks",1,1,0
"Polished Blackstone Button",1,1,0
"Polished Blackstone Pressure Plate",1,1,0
"Polished Blackstone Slab",1,1,0
"Polished Blackstone Stairs",1,1,0
"Polished Blackstone Wall",1,1,0
"Polished Deepslate",1,1,0
"Polished Deepslate Slab",1,1,0
"Polished Deepslate Stairs",1,1,0
"Polished Deepslate Wall",1,1,0
"Polished Diorite",1,1,0
"Polished Diorite Slab",1,1,0
"Polished Diorite Stairs",1,1,0
"Polished Granite",1,1,0
"Polished Granite Slab",1,1,0
"Polished Granite Stairs",1,1,0
"Poppy",1,1,0
"Powered Rail",1,1,0
"Prismarine",1,1,0
"Prismarine Brick Slab",1,1,0
"Prismarine Brick Stairs",1,1,0
"Prismarine Bricks",1,1,0
"Prismarine Slab",1,1,0
"Prismarine Stairs",1,1,0
"Prismarine Wall",1,1,0
"Pumpkin",1,1,0
"Purple Carpet",1,1,0
"Purple Concrete",1,1,0
"Purple Concrete Powder",1,1,0
"Purple Glazed Terracotta",1,1,0
"Purple Stained Glass",1,1,0
"Purple Stained Glass Pane",1,1,0
"Purple Terracotta",1,1,0
"Purple Wool",1,1,0
"Purpur Block",1,1,0
"Purpur Pillar",1,1,0
"Purpur Slab",1,1,0
"Purpur Stairs",1,1,0
"Quartz Bricks",1,1,0
"Quartz Pillar",1,1,0
"Quartz Slab",1,1,0
"Quartz Stairs",1,1,0
"Rail",1,1,0
"Red Carpet",1,1,0
"Red Concrete",1,1,0
"Red Concrete Powder",1,1,0
"Red Glazed Terracotta",1,1,0
"Red Mushroom",1,1,0
"Red Mushroom Block",1,1,0
"Red Nether Brick Slab",1,1,0
"Red Nether Brick Stairs",1,1,0
"Red Nether Brick Wall",1,1,0
"Red Nether Bricks",1,1,0
"Red Sand",1,1,0
"Red Sandstone",1,1,0
"Red Sandstone Slab",1,1,0
"Red Sandstone Stairs",1,1,0
"Red Sandstone Wall",1,1,0
"Red Stained Glass",1,1,0
"Red Stained Glass Pane",1,1,0
"Red Wool",1,1,0
"Redstone Comparator",1,1,0
"Redstone Dust",1,1,0
"Redstone Lamp",1,1,0
"Redstone Repeater",1,1,0
"Redstone Torch",1,1,0
"Rooted Dirt",1,1,0
"Sand",1,1,0
"Sandstone",1,1,0
"Sandstone Slab",1,1,0
"Sandstone Stairs",1,1,0
"Sandstone Wall",1,1,0
"Scaffolding",1,1,0
"Sculk",1,1,0
"Sea Lantern",1,1,0
"Sea Pickle",1,1,0
"Shroomlight",1,1,0
"Slime Block",1,1,0
"Smoker",1,1,0
"Smooth Basalt",1,1,0
"Smooth Quartz Block",1,1,1
"Smooth Quartz Slab",1,1,1
"Smooth Quartz Stairs",1,1,1
"Smooth Red Sandstone",1,1,0
"Smooth Red Sandstone Slab",1,1,0
"Smooth Red Sandstone Stairs",1,1,0
"Smooth Sandstone",1,1,0
"Smooth Sandstone Slab",1,1,0
"Smooth Sandstone Stairs",1,1,0
"Smooth Stone",1,1,0
"Smooth Stone Slab",1,1,0
"Snow Block",1,1,0
"Soul Campfire",1,1,0
"Soul Lantern",1,1,0
"Soul Sand",1,1,0
"Soul Soil",1,1,0
"Soul Torch",1,1,0
"Sponge",1,1,0
"Spruce Button",1,1,0
