"Item","Total","Missing","Available"
"ÂÅ¦â¬Á¼þ",4259680,4259680,0
"¶Â¦â¬Á¼þ",448296,448296,0
"²LÂÅ¦â¬Á¼þ",356312,356312,0
"µµ¦â³³¤g",284017,284017,0
"ÂÅ¦â²V¾®¤g",165026,165026,0
"¥Õ¦â¬Á¼þ",138720,138720,0
"«C¦â³³¤g",85394,85394,0
"¥ÛÀY",61678,61678,0
"¦Ç¦â¬Á¼þ",40259,40259,0
"ãn¬õ¿¸¤ì§÷",35955,35955,0
"¦Ç¦â²V¾®¤g",33767,33767,0
"²L¦Ç¦â¬Á¼þ",23293,23293,0
"¶Â¦â¦Ï¤ò",19536,19536,0
"¶Â¥Û",15871,15871,0
"­é¥Öãn¬õµßµ·Åé",12820,12820,0
"²L¦Ç¦â²V¾®¤g",12444,12444,0
"¶Â¦â³³¤g",12419,12419,0
"¥Õ¦â¦Ï¤ò",10041,10041,0
"©ß¥ú¶Â¥Û",7967,7967,0
"«C¦â¬Á¼þ",5725,5725,0
"²L¦Ç¦â¦Ï¤ò",5581,5581,0
"»jµïºô",3933,3933,0
"¾í¦â²V¾®¤g",3097,3097,0
"¦Ç¦â¦Ï¤ò",2797,2797,0
"¶À¦â²V¾®¤g",2756,2756,0
"¥­·Æ¥ÈªZ©¥",2444,2444,0
"©ß¥ú¶Â¥Û¿jÀð",2054,2054,0
"³·¶ô",1564,1564,0
"¥Û¥b¿j",1423,1423,0
"¦Ç¦â²V¾®¤g¯»¥½",1137,1137,0
"²L¦Ç¦â³³¤g",1051,1051,0
"´Ä¦â¦Ï¤ò",877,877,0
"¾í¦â¦Ï¤ò",871,871,0
"¬õ¦aº»¿j",844,844,0
"¶À¦â¦Ï¤ò",812,812,0
"¥Û¿jÀð",761,761,0
"¥Û¿j",641,641,0
"¶Â¥ÛÀð",600,600,0
"¶ÂÂ`¥Û",561,561,0
"´Ä¦â²V¾®¤g",554,554,0
"©ß¥ú¶Â¥Û¿j¥b¿j",520,520,0
"¾í¦â¬Á¼þ",458,458,0
"¶À¦â¬Á¼þ",417,417,0
"¶Â¦â²V¾®¤g",379,379,0
"¦aº»¥Û­^Äq",377,377,0
"¯BÀJ¦aº»¿j",336,336,0
"©ß¥ú¶Â¥Û¥b¿j",319,319,0
"´Ä¦â³³¤g",319,319,0
"¾ì¤ì§÷",313,313,0
"¦aº»¿j¬]Äæ",286,286,0
"ãn¬õµßµ·Åé",264,264,0
"§á¦±µßµ·Åé",221,221,0
"©ß¥ú¶Â¥ÛÀð",217,217,0
"¯BÀJ¥Û¿j",168,168,0
"·Ñ¬´¤è¶ô",158,158,0
"®üºø",125,125,0
"µõ¯¾¥Û¿j",112,112,0
"¦Ç¦â¹V³³",105,105,0
"­é¥Ö¾ó¤ì¶ô",103,103,0
"¦aº»ª÷Äq",103,103,0
"¥Û¿j¶¥±è",98,98,0
"¬Û«ä¤ì¶ô",89,89,0
"°ò©¥",85,85,0
"­é¥ÖÂOªL¤ì¶ô",80,80,0
"¾ó¤ì§÷",76,76,0
"¥Û¿j¥b¿j",72,72,0
"ÂOªL¤ì§÷",70,70,0
"¦aº»¿j",69,69,0
"Àã®üºø",68,68,0
"·ÑÄq",64,64,0
"´Ä¦â¹V³³",59,59,0
"«C­a¥Û¿j",51,51,0
"µõ¯¾¦aº»¿j",48,48,0
"¯BÀJ©ß¥ú¶Â¥Û",47,47,0
"´Ä¦âÄ¨Û£¤è¶ô",40,40,0
"µõ¯¾©ß¥ú¶Â¥Û¿j",35,35,0
"«C­aÃZ§Z¥Û",34,34,0
"²Êªd",20,20,0
"¬õ¦â¬Á¼þ",18,18,0
"¬õ¥Û¿O",16,16,0
"ªá±^©¥",15,15,0
"¾í¦â³³¤g",12,12,0
"¬õ¿j",10,10,0
"¾í¦â²V¾®¤g¯»¥½",9,9,0
"¶Â¦â¹V³³",8,8,0
"©ß¥ú¶Â¥Û¿j",6,6,0
"ªd¤g",6,6,0
"³³¤g",5,5,0
"¶Â¾ó¤ì¶ô",4,4,0
"©¥¼ß¶ô",3,3,0
"§ü¤ì§÷",3,3,0
"¸Á±_¶ô",3,3,0
"§ü¤ì¶ô",2,2,0
"¥vµÜ©i¤è¶ô",1,1,0
"©ß¥ú°{ªø©¥",1,1,0
"´Ä¦â²V¾®¤g¯»¥½",1,1,0
"°{ªø©¥",1,1,0
"¾uÅ\ÀYÆ`",1,1,0
"ÂH©Ê¬¡¶ë",1,1,0
"¶Â¾ó¤ì§÷",1,1,0
