"Item","Total","Missing","Available"
"White Stained Glass",2142,2142,0
"Hopper",828,828,0
"Chest",615,615,0
"Block of Iron",509,509,0
"Block of Redstone",443,443,0
"Observer",360,360,0
"Dropper",334,334,0
"Redstone Dust",292,292,0
"Redstone Comparator",271,271,0
"Packed Ice",240,240,0
"Piston",171,171,0
"Redstone Torch",165,165,0
"White Concrete Powder",155,155,0
"Redstone Repeater",128,128,0
"Sticky Piston",102,102,0
"Composter",94,94,0
"Lever",90,90,0
"Redstone Lamp",89,89,0
"Smooth Quartz Slab",86,86,0
"Note Block",81,81,0
"White Stained Glass Pane",73,73,0
"Smooth Quartz Block",67,67,0
"Iron Trapdoor",60,60,0
"White Shulker Box",56,56,0
"Scaffolding",53,53,0
"Dispenser",51,51,0
"Activator Rail",48,48,0
"Stone",42,42,0
"Water Bucket",42,42,0
"Lantern",32,32,0
"Honey Block",26,26,0
"Cobblestone Wall",24,24,0
"Powered Rail",23,23,0
"Slime Block",22,22,0
"Chain",21,21,0
"Cobweb",21,21,0
"Gray Carpet",20,20,0
"Obsidian",18,18,0
"Sea Pickle",18,18,0
"End Rod",13,13,0
"Andesite",12,12,0
"Diorite",12,12,0
"Granite",12,12,0
"Barrel",6,6,0
"Dirt",6,6,0
"Gravel",6,6,0
"Ladder",6,6,0
"Birch Trapdoor",5,5,0
"Dark Oak Fence Gate",4,4,0
"Ender Chest",4,4,0
"Smooth Stone Slab",4,4,0
"White Concrete",4,4,0
"Coal Ore",3,3,0
"Gold Ore",3,3,0
"Iron Ore",3,3,0
"Quartz Pillar",3,3,0
"Redstone Ore",3,3,0
"Dark Oak Sign",2,2,0
"Gray Banner",2,2,0
"Soul Sand",2,2,0
"Green Bed",1,1,0
"Stone Pressure Plate",1,1,0
"Stonecutter",1,1,0
"Stonecutter",1,1,0
