"Item","Total","Missing","Available"
"White Concrete",45183,45183,0
"Note Block",8326,8326,0
"Observer",8326,8326,1
"Piston",8192,8192,0
"String",8192,8192,0
"Smooth Stone Slab",7990,7990,0
"Black Concrete",4020,4020,0
"Torch",4020,4020,0
"Powered Rail",3953,3953,0
"Block of Redstone",469,469,0
"Hopper",201,201,0
"Redstone Repeater",138,138,0
"Rail",134,134,0
"Dropper",67,67,0
"Packed Ice",67,67,0
"Redstone Comparator",67,67,0
"Redstone Torch",67,67,0
"Redstone Dust",62,62,0
"Oak Sign",15,15,0
"Water Bucket",8,8,0
"Oak Fence Gate",5,5,0
"Target1",4,4,0
"Lever2",1,1,0
"Oak Sig3n",15,15,0
"Water 3Bucket",8,8,0
"Oak 4Fence Gate",5,5,0
"Tar1get",4,4,0
"Lev23er",1,1,0
"Oa4k Sign",15,15,0
"Wa1k Fence Gate",5,5,0
"Tar12get",4,4,0
"Lev3er",1,1,0
"Lev2er",1,1,0
